,logFC,AveExpr,t,P.Value,adj.P.Val,B
ADARB2,-1.5522301929241613,-2.0556099254936027,-4.092997228764544,4.633724778940187e-05,0.00010948293790020315,1.0809863360703158
ASH1L-AS1,-0.606376201474875,0.3049911096451651,-4.09300287412384,4.633613956503945e-05,0.00010948293790020315,0.9661979586078502
RP11-803B1.8,-0.9899071450803865,-3.527806180170312,-4.093172328067412,4.630288626179047e-05,0.00010942188331446123,1.111109049973467
RP11-93B14.6,-1.1408316299772077,-3.1842274759118614,-4.094489644407518,4.604515066604264e-05,0.00010886289280640459,1.1108439128559997
RP11-314B1.2,-1.1037313497768038,-5.125420948232512,-4.096132626833243,4.5725607242370665e-05,0.00010814723002171524,1.1451741009722038
KRT8P50,-1.188109612480833,-4.302705917417319,-4.0985095572293995,4.526704429506517e-05,0.00010708238911579247,1.1437715992821618
RP11-3D4.2,-1.0444893117643694,-3.3217554325873424,-4.101795728972384,4.464025848611087e-05,0.00010563860303130799,1.1423657932614315
COLQ,-0.8095273307345607,1.0857169521543826,-4.101924858073097,4.4615798276726506e-05,0.00010559044850176621,0.9372973783547032
RP11-574E24.3,-1.746642220215707,-4.435692335009867,-4.102299435001538,4.454491626425988e-05,0.00010543241032301045,1.160780653091238
RP11-573M3.3,-0.926487506453253,-4.183550147758172,-4.102383282379227,4.45290643020645e-05,0.00010540460446727397,1.1576250171162403
COL6A5,-1.2838617952463367,-5.125438686123574,-4.105713088995566,4.390385466443437e-05,0.00010401094911416548,1.1835471718297024
RP11-932O9.8,-0.8881496187456763,-3.317187314022601,-4.108710983581784,4.334810791804021e-05,0.00010272277686464539,1.170028029611693
MAGEL2,-1.6296602558698625,-3.659230018263374,-4.110028274704433,4.3106029431580556e-05,0.00010218683347713525,1.1806691213203404
RP5-943J3.2,-0.950082950629529,-1.391360387446154,-4.111461966032392,4.2844020104065505e-05,0.00010160322883958583,1.133839861486118
RP11-723O4.2,-1.0605674176233906,-2.64151046947576,-4.112421136654493,4.2669575811110795e-05,0.00010120823010313617,1.1727823925957654
SYT6,-1.2964065309887751,-0.7370519614784988,-4.112814280275718,4.2598270000754055e-05,0.00010105776541930227,1.111253951166173
RTP3,-1.3924884188430697,-5.249372261557938,-4.113284916069341,4.251305807599703e-05,0.0001008649303063124,1.2154918621240114
RP13-317D12.3,-0.9517496870502904,-3.0563391123322345,-4.114370747352413,4.2317078202455005e-05,0.00010041850868277296,1.188385943732742
SOCS2,-1.0686535299492417,3.350738529044611,-4.114992728192497,4.220520497222338e-05,0.00010016228786745639,0.721904099660513
FLJ12825,-1.139460309239167,-0.8967844842066979,-4.117630837056591,4.173381535999614e-05,9.910768191315589e-05,1.1383444097654358
GIPR,-1.5194514967267727,-0.4398535982228176,-4.118804464212735,4.1525718170133896e-05,9.865911376166039e-05,1.1192821037559657
