,logFC,AveExpr,t,P.Value,adj.P.Val,B
PPP1R3B,1.0532277967562709,2.423579564930636,19.264220214552132,1.8492941715093886e-75,5.704834672086875e-75,160.24288991874968
CTD-2574D22.2,0.8924523960582692,-1.323479457151436,19.260153633239916,1.9741349014100384e-75,6.087298307994027e-75,160.47080018382655
SPNS3,1.4014876395069158,-1.0641363653736802,19.25878414027523,2.0180425316033794e-75,6.220881327090465e-75,160.4285587666147
RPL4P4,0.8181184603379446,1.5273313621405213,19.257200799350688,2.0700223506833118e-75,6.378337122652731e-75,160.2107740314094
GIMAP6,1.0335380410296167,3.0104015298081195,19.256097311573576,2.1070369289331599e-75,6.491447444189287e-75,160.054800504584
STAB1,1.2444122314898118,4.90569714468059,19.252813735455703,2.2211312489889705e-75,6.84196096681017e-75,159.89299918365262
IGSF5,1.3549220926270429,-0.42191970569465076,19.25166784052449,2.2623819696600885e-75,6.968018292219196e-75,160.2658272201734
MARCH1,0.9469056554660047,3.9893383714630275,19.250203713149435,2.316202910166026e-75,7.131714414577057e-75,159.87980829072427
OVOS2,1.4794573982935517,-0.8282197523159124,19.249723261495706,2.3341411296944454e-75,7.185904823788832e-75,160.26510867085673
ZNF625,0.7699958920606689,0.4733858376683458,19.242476899591235,2.6221294289499525e-75,8.06782742257148e-75,160.05630038513684
GPN3,0.6086229902919871,3.3578767240031233,19.238927282850653,2.7758763345004747e-75,8.538404137435384e-75,159.74741261677798
CTTNBP2NL,0.7106319427987615,4.205068768397182,19.236850012099506,2.8699895576984957e-75,8.826610886882927e-75,159.65399823364288
PLCD1,0.8520077420345968,4.602699852790206,19.235260832349628,2.944133148658581e-75,9.052015403617568e-75,159.6149153905195
NOP10,0.7363589520498941,4.3261526070745715,19.225653996508285,3.434848292888555e-75,1.0556178473019452e-74,159.4694130551906
RPS10,0.8920902414745955,7.929027707905486,19.222996667038544,3.584450747537121e-75,1.1012756696768053e-74,159.54399134672764
LPCAT1,0.849658583655291,5.8401169409095735,19.21641454282292,3.9836078840507864e-75,1.2228495235682725e-74,159.33190230029987
MOSPD1,0.5861627359015529,2.470246942564127,19.208675582595273,4.509997789578269e-75,1.3830355833484242e-74,159.3490017689322
PLEK2,1.6253648040162783,-2.6767489057176146,19.203232236633355,4.921292378485747e-75,1.5087272287423013e-74,159.66238467428397
TRIM22,1.2350222077406987,4.116024371704367,19.20262401138581,4.969513691676715e-75,1.523290500118724e-74,159.11085161851577
LINC00606,1.600714487543219,-2.6482678777058655,19.197580007820157,5.388017367088919e-75,1.6506197813709987e-74,159.56996210799653
CLCN3,0.7772383287703271,6.75528722729118,19.1958702951035,5.537709875077215e-75,1.6962332975218478e-74,159.04559329772067
RP11-31F19.1,1.1536147368751117,-0.6137264151881046,19.19401204417751,5.705117370602308e-75,1.7472590740986178e-74,159.35740962551935
RALY,0.7196060615034217,6.145505576182136,19.186779963635118,6.406129643614694e-75,1.961103460412592e-74,158.87097820483592
GAB1,0.9913590609087413,5.384003531573406,19.18549319643424,6.539575738945697e-75,2.0016665351204083e-74,158.8220579669967
DNAJC3,0.7128888053333409,4.813703103539774,19.183371648984213,6.765677614766819e-75,2.070574376134015e-74,158.7820289463496
KDM1A,0.7293686736110123,5.720364440517765,19.18086229750977,7.0431992388110105e-75,2.154264989081287e-74,158.7587234586489
TMEM14C,0.7227612183150125,5.516416051646408,19.17713879409936,7.4760683459307285e-75,2.2863348621102374e-74,158.69225225249136
ZNF558,0.6769649917558613,4.042154180876392,19.169606035216564,8.434633814355695e-75,2.5783694121159035e-74,158.58723715729042
NNT-AS1,0.6716515306872362,4.750605177011444,19.167894772707765,8.668955333596541e-75,2.6496172046976788e-74,158.5352468030589
PCOLCE2,1.3973205742260366,0.5485952073550198,19.165213701621944,9.04919963115769e-75,2.764642495258841e-74,158.81532614444183
TLE1P1,1.0205968397894618,-1.6541335891912619,19.164644533344056,9.132039498293552e-75,2.789549610451536e-74,158.96904129476337
D21S2088E,1.4475012965424032,-2.336655582485946,19.16320144534886,9.345481737666364e-75,2.8541626026574977e-74,158.99787109215288
RPS18,0.9442239605397642,8.549304899972132,19.163196312700595,9.346249706068811e-75,2.8541626026574977e-74,158.62419961536818
RP11-70C1.3,2.187901400173004,-2.4860896127865484,19.162364552390173,9.471536807083198e-75,2.8920067865931393e-74,158.995563825554
GBP1,1.4954344751831172,3.269254745904943,19.16156779207043,9.593123128914663e-75,2.9287102640223147e-74,158.51822118784622
UBAC2,0.6310799410916861,4.989293620891664,19.15575813711564,1.0528044384687234e-74,3.2127486796112123e-74,158.34079685705487
RP11-567M16.6,0.6743903715241819,2.602572648449021,19.14513248106782,1.247942071805834e-74,3.8060440169859826e-74,158.320648192318
C16orf62,0.6336164943290141,5.528321369369738,19.1413542571281,1.32570222464053e-74,4.041459302376064e-74,158.12114506908375
C2orf47,0.5448676932602181,2.783866751776005,19.129635123761535,1.599006157671159e-74,4.872538574344774e-74,158.05531735326736
KLRC2,2.2780514938771574,1.0531313921339351,19.127626127275878,1.6512081953904792e-74,5.030887952282719e-74,158.1775335333955
FSTL1,1.1788085662494225,5.342628110039839,19.126030377144588,1.6938814354376415e-74,5.159423336208182e-74,157.87155173979812
ENTPD1-AS1,0.6951806801673859,0.06411380274377086,19.125794109501914,1.7002925064610842e-74,5.178207895932487e-74,158.22024162246876
CD48,1.771606904255109,-1.038036365515365,19.125377179119255,1.711664939634337e-74,5.211347055883257e-74,158.29425640976274
FXN,0.549049479316086,2.337020775714068,19.120660430750227,1.845730868195107e-74,5.617108120312192e-74,157.95613776927198
SMC3,0.7675652551135093,5.271363063366128,19.120428207911853,1.8525955705993456e-74,5.637191252453026e-74,157.7806454453046
TRIM52-AS1,0.6456421850061722,2.683201820115325,19.115009059940245,2.0202275066019592e-74,6.144629500306603e-74,157.83208758687437
ID1,1.1746772542164452,4.6442260934691495,19.11276093449211,2.094134956528249e-74,6.368510418656897e-74,157.65682071240246
LRRN4CL,1.4117710967969188,-0.0012536546085320593,19.107330709876415,2.2839742144509008e-74,6.94185576319434e-74,157.9303524101048
