"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0713","Cell Line","SH-EP","Bone marrow","Neuroblastoma","19734"
"Sample_0714","Cell Line","MM1S","Blood","Myeloma","34091"
"Sample_0715","Cell Line","BJ","Skin","Other","74051"
"Sample_0716","Cell Line","BJ","Skin","Other","83966"
"Sample_0717","Cell Line","BJ","Skin","Other","76394"
"Sample_0718","Cell Line","BJ","Skin","Other","60243"
"Sample_0719","Cell Line","BJ","Skin","Other","81776"
"Sample_0720","Cell Line","BJ-5ta","Foreskin","Normal","54213"
"Sample_0721","Cell Line","BJ-5ta","Foreskin","Normal","22445"
"Sample_0722","Cell Line","BJ-5ta","Foreskin","Normal","56679"
"Sample_0723","Cell Line","BJ-5ta","Foreskin","Normal","51786"
"Sample_0724","Cell Line","HUES64","Foreskin","Normal","104007"
"Sample_0725","Cell Line","HUES64","Foreskin","Normal","59551"
"Sample_0726","Cell Line","CCRF-CEM","Blood","Cultured cancer","12193"
"Sample_0727","Cell Line","CCRF-CEM","Blood","Cultured cancer","20918"
"Sample_0728","Cell Line","CCRF-CEM","Blood","Cultured cancer","19022"
"Sample_0729","Cell Line","CCRF-CEM","Blood","Cultured cancer","16977"
"Sample_0730","Cell Line","CCRF-CEM","Blood","Cultured cancer","18210"
"Sample_0731","Primary Cell","CCRF-CEM SLFN11-knockout","Blood","Cultured cancer","16841"
"Sample_0732","Cell Line","Lymphoblast","Blood","Cultured cancer","3907"
"Sample_0733","Cell Line","K562","Blood","Cultured cancer","4028"
"Sample_0734","Cell Line","Lymphoblast","Blood","Cultured cancer","9251"
"Sample_0735","Cell Line","Lymphoblast","Blood","Cultured cancer","3987"
"Sample_0736","Cell Line","Lymphoblast","Blood","Cultured cancer","7341"
"Sample_0737","Cell Line","Lymphoblast","Blood","Cultured cancer","9934"
"Sample_0738","Cell Line","RUES2","Embryo","Normal","97848"
"Sample_0739","Cell Line","RUES2","Other","Normal","61234"
"Sample_0740","Cell Line","RUES2","Other","Normal","81983"
"Sample_0741","Cell Line","RUES2","Other","Normal","51761"
"Sample_0742","Cell Line","RUES2","Other","Normal","58250"
"Sample_0743","Cell Line","RUES2","Other","Normal","44434"
"Sample_0744","Cell Line","RUES2","Other","Normal","27053"
"Sample_0745","Stem Cell","MSCiPS1-derived 5F hematopoietic cell","Hematopoietic","Normal","46326"
"Sample_0746","Stem Cell","MSCiPS1-derived 5F hematopoietic cell","Hematopoietic","Normal","26958"
"Sample_0747","Stem Cell","MSCiPS1-derived 5F hematopoietic cell","Hematopoietic","Normal","48724"
"Sample_0748","Induced pluripotent stem cell line","LCL","Blood","Other","23342"
"Sample_0749","Induced pluripotent stem cell line","LCL","Blood","Other","15687"
"Sample_0750","Induced pluripotent stem cell line","LCL","Blood","Other","42246"
"Sample_0751","Induced pluripotent stem cell line","LCL","Blood","Other","11086"
"Sample_0752","Induced pluripotent stem cell line","LCL","Blood","Other","30400"
"Sample_0753","Induced pluripotent stem cell line","LCL","Blood","Other","54878"
"Sample_0754","Induced pluripotent stem cell line","LCL","Blood","Other","27181"
"Sample_0755","Induced pluripotent stem cell line","LCL","Blood","Other","18520"
"Sample_0756","Induced pluripotent stem cell line","LCL","Blood","Other","26331"
"Sample_0757","Induced pluripotent stem cell line","LCL","Blood","Other","27841"
"Sample_0758","Induced pluripotent stem cell line","LCL","Blood","Other","10829"
"Sample_0759","Induced pluripotent stem cell line","LCL","Blood","Other","122876"
"Sample_0760","Induced pluripotent stem cell line","LCL","Blood","Other","22605"
"Sample_0761","Induced pluripotent stem cell line","LCL","Blood","Other","30942"
"Sample_0762","Induced pluripotent stem cell line","LCL","Blood","Other","17693"
"Sample_0763","Induced pluripotent stem cell line","LCL","Blood","Other","30963"
"Sample_0764","Induced pluripotent stem cell line","LCL","Blood","Other","28791"
"Sample_0765","Induced pluripotent stem cell line","LCL","Blood","Other","11248"
"Sample_0766","Stem Cell","iPSC-NA18499","iPSC","Other","2028"
"Sample_0767","Stem Cell","iPSC-NA18505","iPSC","Other","61184"
"Sample_0768","Stem Cell","iPSC-NA18520","iPSC","Other","29352"
"Sample_0769","Stem Cell","iPSC-NA18852","iPSC","Other","78075"
"Sample_0770","Stem Cell","iPSC-NA18855","iPSC","Other","2850"
"Sample_0771","Stem Cell","iPSC-NA18870","iPSC","Other","44910"
"Sample_0772","Stem Cell","iPSC-NA18912","iPSC","Other","9208"
"Sample_0773","Stem Cell","iPSC-NA19108","iPSC","Other","138149"
"Sample_0774","Stem Cell","iPSC-NA19116","iPSC","Other","98123"
"Sample_0775","Stem Cell","iPSC-NA19128","iPSC","Other","9233"
"Sample_0776","Stem Cell","iPSC-NA19160","iPSC","Other","41499"
"Sample_0777","Stem Cell","iPSC-NA19239","iPSC","Other","53821"
"Sample_0778","Stem Cell","iPSC-NA19257","iPSC","Other","5997"
"Sample_0779","Stem Cell","iPSC-NA19225","iPSC","Other","63829"
"Sample_0780","Stem Cell","iPSC-NA19210","iPSC","Other","43025"
"Sample_0781","Stem Cell","iPSC-NA19206","iPSC","Other","38959"
"Sample_0782","Stem Cell","iPSC-NA19204","iPSC","Other","70471"
"Sample_0783","Stem Cell","iPSC-NA19193","iPSC","Other","56196"
"Sample_0784","Stem Cell","iPSC-NA19192","iPSC","Other","15337"
"Sample_0785","Stem Cell","iPSC-NA19190","iPSC","Other","19823"
"Sample_0786","Stem Cell","iPSC-NA19171","iPSC","Other","46973"
"Sample_0787","Stem Cell","iPSC-NA19160","iPSC","Other","52136"
"Sample_0788","Stem Cell","iPSC-NA19159","iPSC","Other","35049"
"Sample_0789","Stem Cell","iPSC-NA19153","iPSC","Other","85349"
"Sample_0790","Stem Cell","iPSC-NA19144","iPSC","Other","28790"
"Sample_0791","Stem Cell","iPSC-NA19143","iPSC","Other","61260"
"Sample_0792","Stem Cell","iPSC-NA19140","iPSC","Other","70634"
"Sample_0793","Stem Cell","iPSC-NA19138","iPSC","Other","1109"
"Sample_0794","Stem Cell","iPSC-NA19130","iPSC","Other","40407"
"Sample_0795","Stem Cell","iPSC-NA19128","iPSC","Other","9284"
"Sample_0796","Stem Cell","iPSC-NA19127","iPSC","Other","46327"
"Sample_0797","Stem Cell","iPSC-NA19119","iPSC","Other","30566"
"Sample_0798","Stem Cell","iPSC-NA19116","iPSC","Other","56718"
"Sample_0799","Stem Cell","iPSC-NA19114","iPSC","Other","65545"
"Sample_0800","Stem Cell","iPSC-NA19108","iPSC","Other","82630"
"Sample_0801","Stem Cell","iPSC-NA19102","iPSC","Other","49863"
"Sample_0802","Stem Cell","iPSC-NA19099","iPSC","Other","9097"
"Sample_0803","Stem Cell","iPSC-NA19098","iPSC","Other","41226"
"Sample_0804","Stem Cell","iPSC-NA18861","iPSC","Other","60671"
"Sample_0805","Stem Cell","iPSC-NA18859","iPSC","Other","74204"
"Sample_0806","Stem Cell","iPSC-NA18858","iPSC","Other","66373"
"Sample_0807","Stem Cell","iPSC-NA18856","iPSC","Other","45145"
"Sample_0808","Stem Cell","iPSC-NA18853","iPSC","Other","36262"
"Sample_0809","Stem Cell","iPSC-NA18852","iPSC","Other","66912"
"Sample_0810","Stem Cell","iPSC-NA18522","iPSC","Other","52014"
"Sample_0811","Stem Cell","iPSC-NA18520","iPSC","Other","28223"
"Sample_0812","Stem Cell","iPSC-NA18519","iPSC","Other","45202"
"Sample_0813","Stem Cell","iPSC-NA18517","iPSC","Other","80831"
"Sample_0814","Stem Cell","iPSC-NA18511","iPSC","Other","56485"
"Sample_0815","Stem Cell","iPSC-NA18510","iPSC","Other","93854"
"Sample_0816","Stem Cell","iPSC-NA18508","iPSC","Other","26305"
"Sample_0817","Stem Cell","iPSC-NA18505","iPSC","Other","52750"
"Sample_0818","Stem Cell","iPSC-NA18502","iPSC","Other","59756"
"Sample_0819","Stem Cell","iPSC-NA18501","iPSC","Other","52117"
"Sample_0820","Stem Cell","iPSC-NA18499","iPSC","Other","24523"
"Sample_0821","Stem Cell","iPSC-NA18498","iPSC","Other","64618"
"Sample_0822","Stem Cell","iPSC-NA18489","iPSC","Other","8633"
"Sample_0823","Stem Cell","iPSC-NA18486","iPSC","Other","60524"
"Sample_0824","Primary Cell","YF","Blood","The Yellow fever","981"
"Sample_0825","Primary Cell","YF","Blood","The Yellow fever","6980"
"Sample_0826","Primary Cell","YF","Blood","The Yellow fever","10716"
"Sample_0827","Primary Cell","YF","Blood","The Yellow fever","10768"
"Sample_0828","Primary Cell","YF","Blood","The Yellow fever","11211"
"Sample_0829","Primary Cell","YF","Blood","The Yellow fever","7899"
"Sample_0830","Primary Cell","YF","Blood","The Yellow fever","4428"
"Sample_0831","Primary Cell","YF","Blood","The Yellow fever","3741"
"Sample_0832","Primary Cell","YF","Blood","The Yellow fever","10649"
"Sample_0833","Primary Cell","YF","Blood","The Yellow fever","8751"
"Sample_0834","Primary Cell","YF","Blood","The Yellow fever","6607"
"Sample_0835","Primary Cell","YF","Blood","The Yellow fever","9265"
"Sample_0836","Primary Cell","YF","Blood","The Yellow fever","8638"
"Sample_0837","Primary Cell","YF","Blood","The Yellow fever","9390"
"Sample_0838","Primary Cell","YF","Blood","The Yellow fever","8298"
"Sample_0839","Cell Line","T_T","Blood","The Yellow fever","3693"
"Sample_0840","Cell Line","T_T","Blood","The Yellow fever","4204"
"Sample_0841","Cell Line","T_T","Blood","The Yellow fever","18620"
"Sample_0842","Cell Line","T_T","Blood","The Yellow fever","11834"
"Sample_0843","Cell Line","T_T","Blood","The Yellow fever","17944"
"Sample_0844","Cell Line","T_T","Blood","The Yellow fever","5307"
"Sample_0845","Cell Line","T_T","Blood","The Yellow fever","3592"
"Sample_0846","Cell Line","T_T","Blood","The Yellow fever","14812"
"Sample_0847","Cell Line","T_T","Blood","The Yellow fever","5341"
"Sample_0848","Cell Line","T_T","Blood","The Yellow fever","14655"
"Sample_0849","Cell Line","T_T","Blood","The Yellow fever","2540"
"Sample_0850","Cell Line","T_T","Blood","The Yellow fever","21670"
"Sample_0851","Cell Line","T_T","Blood","The Yellow fever","15793"
"Sample_0852","Cell Line","T_T","Blood","The Yellow fever","16071"
"Sample_0853","Cell Line","T_T","Blood","The Yellow fever","11312"
"Sample_0854","Cell Line","T_T","Blood","The Yellow fever","13184"
"Sample_0855","Cell Line","foreskin_NHM1","Foreskin","Normal","111821"
"Sample_0856","Cell Line","SKmel147","Foreskin","Melanoma","54259"
"Sample_0857","Cell Line","501-Mel","Foreskin","Melanoma","53587"
"Sample_0858","Primary Cell","AAEC","Bronchial","Asthma","1713"
"Sample_0859","Primary Cell","AAEC","Bronchial","Asthma","6818"
"Sample_0860","Primary Cell","AAEC","Bronchial","Asthma","11322"
"Sample_0861","Primary Cell","AAEC","Bronchial","Other","21918"
"Sample_0862","Primary Cell","AAEC","Bronchial","Other","18685"
"Sample_0863","Primary Cell","AAEC","Bronchial","Normal","14463"
"Sample_0864","Primary Cell","NHBEC","Bronchial","Normal","7070"
"Sample_0865","Cell Line","T47D","Mammary Gland","Breast cancer","37495"
"Sample_0866","Cell Line","T47D","Mammary Gland","Breast cancer","33320"
"Sample_0867","Cell Line","T47D","Mammary Gland","Breast cancer","37507"
"Sample_0868","Cell Line","T47D","Mammary Gland","Breast cancer","37419"
"Sample_0869","Cell Line","T47D","Mammary Gland","Breast cancer","35892"
"Sample_0870","Cell Line","T47D","Mammary Gland","Breast cancer","27165"
"Sample_0871","Cell Line","TOV-21G","Other","Ovarion cancer","24970"
"Sample_0872","Cell Line","TOV-21G","Other","Ovarion cancer","15724"
"Sample_0873","Cell Line","TOV-21G","Other","Ovarion cancer","28853"
"Sample_0874","Cell Line","TOV-21G","Other","Ovarion cancer","18518"
"Sample_0875","Cell Line","HCT116","Colon","Colorectal carcinoma","30702"
"Sample_0876","Cell Line","HCT116","Colon","Colorectal carcinoma","31334"
"Sample_0877","Cell Line","HCT116","Colon","Colorectal carcinoma","45857"
"Sample_0878","Cell Line","HCT116","Colon","Colorectal carcinoma","28723"
"Sample_0879","Cell Line","HCT116","Colon","Normal","33009"
"Sample_0880","Cell Line","HCT116","Colon","Normal","31166"
"Sample_0881","Cell Line","HCT116","Colon","Colorectal carcinoma","32063"
"Sample_0882","Cell Line","HCT116","Colon","Colorectal carcinoma","21995"
"Sample_0883","Cell Line","Jurkat","Blood","Leukemia","58074"
"Sample_0884","Cell Line","Jurkat","Blood","Leukemia","43310"
"Sample_0885","Cell Line","Jurkat","Blood","Leukemia","61769"
"Sample_0886","Cell Line","Jurkat","Blood","Leukemia","70715"
"Sample_0887","Cell Line","Jurkat","Blood","Leukemia","50251"
"Sample_0888","Cell Line","Jurkat","Blood","Leukemia","72964"
"Sample_0889","Cell Line","Jurkat","Blood","Leukemia","71035"
"Sample_0890","Cell Line","Jurkat","Blood","Leukemia","69263"
"Sample_0891","Cell Line","Jurkat","Blood","Leukemia","78899"
"Sample_0892","Cell Line","Jurkat","Blood","Leukemia","74938"
"Sample_0893","Cell Line","Jurkat","Blood","Leukemia","82176"
"Sample_0894","Cell Line","Pancreatic","Pancreas","Pancreatic cancer","72203"
"Sample_0895","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","21772"
"Sample_0896","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","21985"
"Sample_0897","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","20779"
"Sample_0898","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","19131"
"Sample_0899","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","22861"
"Sample_0900","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","22083"
"Sample_0901","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","18629"
"Sample_0902","Primary Cell","B cell","Lymphoblastoid","Epstein-Barr Virus (EBV)","22558"
"Sample_0903","Primary Cell","Naive T-cell","Other","Other","14481"
"Sample_0904","Primary Cell","Naive T-cell","Other","Other","12852"
"Sample_0905","Primary Cell","Naive T-cell","Other","Other","15173"
"Sample_0906","Primary Cell","Naive T-cell","Other","Other","16527"
"Sample_0907","Primary Cell","Naive T-cell","Other","Other","14578"
"Sample_0908","Primary Cell","Naive T-cell","Other","Other","15495"
"Sample_0909","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","10325"
"Sample_0910","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","12132"
"Sample_0911","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","15465"
"Sample_0912","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","13185"
"Sample_0913","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","14959"
"Sample_0914","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","11175"
"Sample_0915","Primary Cell","Treg cell","Other","Other","7667"
"Sample_0916","Primary Cell","Treg cell","Other","Other","15280"
"Sample_0917","Primary Cell","Treg cell","Other","Other","8960"
"Sample_0918","Primary Cell","Treg cell","Other","Other","12972"
"Sample_0919","Primary Cell","Treg cell","Other","Other","13923"
"Sample_0920","Primary Cell","Treg cell","Other","Other","16942"
"Sample_0921","Primary Cell","Naive T cell","Other","Other","15821"
"Sample_0922","Primary Cell","Naive T cell","Other","Other","18701"
"Sample_0923","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","27087"
"Sample_0924","Primary Cell","Th17","Cytokine-secreting T helper cell (Th) counterparts","Other","26404"
"Sample_0925","Cell Line","Treg","Other","Other","19338"
"Sample_0926","Cell Line","Treg","Other","Other","23477"
"Sample_0927","Cell Line","K562","Bone marrow","Leukemia","18065"
"Sample_0928","Cell Line","K562","Bone marrow","Leukemia","47202"
"Sample_0929","Cell Line","K562","Bone marrow","Leukemia","28796"
"Sample_0930","Cell Line","K562","Bone marrow","Leukemia","13219"
"Sample_0931","Cell Line","K562","Bone marrow","Leukemia","9249"
"Sample_0932","Cell Line","K562","Bone marrow","Leukemia","15590"
"Sample_0933","Cell Line","K562","Bone marrow","Leukemia","2446"
"Sample_0934","Cell Line","K562","Bone marrow","Leukemia","872"
"Sample_0935","Cell Line","K562","Bone marrow","Leukemia","5921"
"Sample_0936","Cell Line","K562","Bone marrow","Leukemia","1851"
"Sample_0937","Cell Line","K562","Bone marrow","Leukemia","1187"
"Sample_0938","Cell Line","K562","Bone marrow","Leukemia","1139"
"Sample_0939","Cell Line","K562","Bone marrow","Leukemia","1189"
"Sample_0940","Cell Line","J-Lat-A72","Blood","HIV-1","19403"
"Sample_0941","Cell Line","J-Lat-A72","Blood","HIV-1","13517"
"Sample_0942","Cell Line","J-Lat-A72","Blood","HIV-1","20340"
"Sample_0943","Cell Line","J-Lat-A72","Blood","HIV-1","27748"
"Sample_0944","Cell Line","T47D","Breast","Breast cancer","11328"
"Sample_0945","Cell Line","T47D","Breast","Breast cancer","8962"
"Sample_0946","Cell Line","T47D","Breast","Breast cancer","13492"
"Sample_0947","Cell Line","T47D","Breast","Breast cancer","17585"
"Sample_0948","Cell Line","T47D","Breast","Breast cancer","8978"
"Sample_0949","Cell Line","T47D","Breast","Breast cancer","9349"
"Sample_0950","Cell Line","GM02171","Fibroblast","Normal","63431"
"Sample_0951","Cell Line","GM02171","Fibroblast","Normal","65219"
"Sample_0952","Cell Line","GM02171","Fibroblast","Normal","34301"
"Sample_0953","Cell Line","GM02171","Fibroblast","Normal","31716"
"Sample_0954","Cell Line","GM02171","Fibroblast","Normal","40181"
"Sample_0955","Cell Line","GM02171","Fibroblast","Normal","39553"
"Sample_0956","Cell Line","GM02171","Fibroblast","Normal","38018"
"Sample_0957","Cell Line","GM02171","Fibroblast","Normal","42707"
"Sample_0958","Cell Line","GM02171","Fibroblast","Normal","15437"
"Sample_0959","Cell Line","GM02171","Fibroblast","Normal","29204"
"Sample_0960","Cell Line","MCF7","Mammary Gland","Breast cancer","101091"
"Sample_0961","Cell Line","MCF7","Mammary Gland","Breast cancer","83756"
"Sample_0962","Cell Line","MCF7","Mammary Gland","Breast cancer","71281"
"Sample_0963","Cell Line","MCF7","Mammary Gland","Breast cancer","77440"
"Sample_0964","Stem Cell","Fibroblast","Fibroblast","Other","8649"
"Sample_0965","Stem Cell","Fibroblast","Fibroblast","Other","9541"
"Sample_0966","Stem Cell","Cortical NSC","Cortical Neurons","Other","21742"
"Sample_0967","Stem Cell","Cortical NSC","Cortical Neurons","Other","25430"
"Sample_0968","Stem Cell","Cortical NSC","Cortical Neurons","Other","11220"
"Sample_0969","Stem Cell","Cortical NSC","Cortical Neurons","Other","15524"
"Sample_0970","Stem Cell","Embryo","Embryo","Normal","66873"
"Sample_0971","Stem Cell","MGE organoids","Cortex","Normal","64415"
"Sample_0972","Stem Cell","Cortex","Cortex","Normal","61112"
"Sample_0973","Cell Line","G523NS","Glioblastoma","Glioblastoma","31062"
"Sample_0974","Cell Line","G523NS","Glioblastoma","Glioblastoma","49243"
"Sample_0975","Cell Line","G523NS","Glioblastoma","Glioblastoma","29906"
"Sample_0976","Primary Cell","GBM","Glioblastoma","Glioblastoma","31946"
"Sample_0977","Cell Line","PC-9","Lung","Lung cancer","57164"
"Sample_0978","Cell Line","PC-9","Lung","Lung cancer","61446"
"Sample_0979","Cell Line","PC-9","Lung","Lung cancer","65849"
"Sample_0980","Cell Line","PC-9","Lung","Lung cancer","65568"
"Sample_0981","Cell Line","PC-9","Lung","Lung cancer","76164"
"Sample_0982","Cell Line","PC-9","Lung","Lung cancer","86340"
"Sample_0983","Cell Line","PC-9","Lung","Lung cancer","28794"
"Sample_0984","Cell Line","PC-9","Lung","Lung cancer","30561"
"Sample_0985","Cell Line","PC-9","Lung","Lung cancer","30654"
"Sample_0986","Cell Line","PC-9","Lung","Lung cancer","33301"
"Sample_0987","Cell Line","PC-9","Lung","Lung cancer","34068"
"Sample_0988","Cell Line","PC-9","Lung","Lung cancer","31905"
"Sample_0989","Cell Line","PC-9","Lung","Lung cancer","39092"
"Sample_0990","Cell Line","PC-9","Lung","Lung cancer","35532"
"Sample_0991","Cell Line","PC-9","Lung","Lung cancer","36333"
"Sample_0992","Cell Line","PC-9","Lung","Lung cancer","38943"
"Sample_0993","Cell Line","PC-9","Lung","Lung cancer","35619"
"Sample_0994","Cell Line","PC-9","Lung","Lung cancer","39076"
"Sample_0995","Cell Line","PC-9","Lung","Lung cancer","53943"
"Sample_0996","Cell Line","PC-9","Lung","Lung cancer","64091"
"Sample_0997","Cell Line","PC-9","Lung","Lung cancer","74394"
"Sample_0998","Primary Cell","monocyte-derived macrophages","Peripheral blood","Normal","79808"
"Sample_0999","Primary Cell","monocyte-derived macrophages","Peripheral blood","Normal","84990"
"Sample_1000","Primary Cell","monocyte-derived macrophages","Peripheral blood","Normal","86609"
"Sample_1001","Stem Cell","Stem Cell","Blood","Normal","38235"
"Sample_1002","Stem Cell","Stem Cell","Blood","Normal","33320"
"Sample_1003","Cell Line","JHU-06","Other","Other","32734"
"Sample_1004","Cell Line","JHU-06","Other","Other","37030"
"Sample_1005","Cell Line","JHU-06","Other","Other","36336"
"Sample_1006","Cell Line","JHU-06","Other","Other","17032"
"Sample_1007","Cell Line","JHU-06","Other","Other","61985"
"Sample_1008","Cell Line","JHU-06","Other","Other","94799"
"Sample_1009","Cell Line","JHU-06","Other","Other","41615"
"Sample_1010","Cell Line","JHU-06","Other","Other","37144"
"Sample_1011","Cell Line","HEK293T","Kidney","Normal","785"
"Sample_1012","Cell Line","HEK293T","Kidney","Normal","5"
"Sample_1013","Cell Line","HEK293T","Kidney","Normal","913"
"Sample_1014","Cell Line","HEK293T","Kidney","Normal","1137"
"Sample_1015","Cell Line","HCT116","Colon","Cancer","47506"
"Sample_1016","Cell Line","HCT116","Colon","Cancer","14297"
"Sample_1017","Primary Cell","CD8 T cell","Blood","Normal","30886"
"Sample_1018","Primary Cell","CD8 T cell","Blood","Normal","34433"
"Sample_1019","Primary Cell","CD8 T cell","Blood","Normal","31422"
"Sample_1020","Primary Cell","CD8 T cell","Blood","Normal","36763"
"Sample_1021","Primary Cell","CD8 T cell","Blood","Normal","34992"
"Sample_1022","Primary Cell","CD8 T cell","Blood","Melanoma","34202"
"Sample_1023","Primary Cell","CD8 T cell","Blood","Melanoma","37081"
"Sample_1024","Primary Cell","CD8 T cell","Lung","Lung cancer","26037"
"Sample_1025","Primary Cell","Macrophage","Peripheral blood","Normal","14930"
"Sample_1026","Primary Cell","Macrophage","Peripheral blood","Normal","20618"
"Sample_1027","Primary Cell","Macrophage","Peripheral blood","Normal","21440"
"Sample_1028","Primary Cell","Macrophage","Peripheral blood","Normal","42823"
"Sample_1029","Cell Line","K-562","Bone marrow","Erythroleukemic","9019"
"Sample_1030","Cell Line","K-562","Bone marrow","Erythroleukemic","6817"
"Sample_1031","Cell Line","K-562","Bone marrow","Erythroleukemic","8667"
"Sample_1032","Cell Line","K-562","Bone marrow","Erythroleukemic","9635"
"Sample_1033","Cell Line","K-562","Bone marrow","Erythroleukemic","6686"
"Sample_1034","Cell Line","K-562","Bone marrow","Erythroleukemic","8489"
"Sample_1035","Cell Line","K-562","Bone marrow","Erythroleukemic","14396"
"Sample_1036","Cell Line","K-562","Bone marrow","Erythroleukemic","10169"
"Sample_1037","Cell Line","K-562","Bone marrow","Erythroleukemic","9831"
"Sample_1038","Cell Line","K-562","Bone marrow","Erythroleukemic","11115"
"Sample_1039","Cell Line","K-562","Bone marrow","Erythroleukemic","8137"
"Sample_1040","Cell Line","K-562","Bone marrow","Erythroleukemic","9454"
"Sample_1041","Cell Line","H1","Embryo","Normal","1"
"Sample_1042","Cell Line","H1","Embryo","Normal","1"
"Sample_1043","Cell Line","H1","Embryo","Normal","91543"
"Sample_1044","Cell Line","H1","Embryo","Normal","73021"
"Sample_1045","Cell Line","H1","Embryo","Normal","44634"
"Sample_1046","Cell Line","H1","Embryo","Normal","58120"
"Sample_1047","Cell Line","H1","Embryo","Normal","58153"
"Sample_1048","Cell Line","H1","Embryo","Normal","50187"
"Sample_1049","Cell Line","WM989","Other","Melanoma","19138"
"Sample_1050","Cell Line","WM989","Other","Melanoma","16341"
"Sample_1051","Cell Line","WM989","Other","Melanoma","36682"
"Sample_1052","Cell Line","WM989","Other","Melanoma","17075"
"Sample_1053","Cell Line","WM989","Other","Melanoma","48799"
"Sample_1054","Cell Line","WM989","Other","Melanoma","60793"
"Sample_1055","Cell Line","WM989","Other","Melanoma","23339"
"Sample_1056","Cell Line","WM989","Other","Melanoma","28695"
"Sample_1057","Cell Line","WM989","Other","Melanoma","41605"
"Sample_1058","Cell Line","WM989","Other","Melanoma","65879"
"Sample_1059","Cell Line","WM989","Other","Melanoma","59178"
"Sample_1060","Cell Line","WM989","Other","Melanoma","50610"
"Sample_1061","Cell Line","WM989","Other","Melanoma","50721"
"Sample_1062","Other","HL-60 cells (ATCC)","Myeloid","Other","34379"
"Sample_1063","Other","Macrophage","Myeloid","Other","11894"
"Sample_1064","Other","Macrophage","Myeloid","Other","13186"
"Sample_1065","Other","Macrophage","Myeloid","Other","23019"
"Sample_1066","Other","Macrophage","Myeloid","Other","46854"
"Sample_1067","Other","Macrophage","Myeloid","Other","14329"
"Sample_1068","Other","Macrophage","Myeloid","Other","654"
"Sample_1069","Other","Macrophage","Myeloid","Other","5595"
"Sample_1070","Cell Line","THP-1","Other","Other","44029"
"Sample_1071","Cell Line","THP-1","Other","Other","72360"
"Sample_1072","Cell Line","THP-1","Other","Other","61864"
"Sample_1073","Cell Line","THP-1","Other","Other","54055"
"Sample_1074","Cell Line","THP-1","Other","Other","36485"
"Sample_1075","Cell Line","THP-1","Other","Other","45164"
"Sample_1076","Cell Line","THP-1","Other","Other","63947"
"Sample_1077","Cell Line","THP-1","Other","Other","34149"
"Sample_1078","Cell Line","THP-1","Other","Other","39945"
"Sample_1079","Cell Line","THP-1","Other","Other","62349"
"Sample_1080","Cell Line","THP-1","Other","Other","51217"
"Sample_1081","Cell Line","HFF","Foreskin","Normal","89187"
"Sample_1082","Cell Line","HFF","Foreskin","Normal","55283"
"Sample_1083","Cell Line","HFF","Foreskin","Normal","69878"
"Sample_1084","Cell Line","HFF","Foreskin","Normal","76354"
"Sample_1085","Cell Line","HFF","Foreskin","Normal","55531"
"Sample_1086","Cell Line","HFF","Foreskin","Normal","40381"
"Sample_1087","Cell Line","D283","Other","Medulloblastoma","70839"
"Sample_1088","Cell Line","BJ","Skin","Normal","43043"
"Sample_1089","Cell Line","BJ","Skin","Normal","87464"
"Sample_1090","Cell Line","BJ","Skin","Normal","86434"
"Sample_1091","Cell Line","BJ","Skin","Normal","69157"
"Sample_1092","Cell Line","BJ","Skin","Normal","75859"
"Sample_1093","Cell Line","BJ","Skin","Normal","98690"
"Sample_1094","Cell Line","BJ","Skin","Normal","69509"
"Sample_1095","Cell Line","BJ","Skin","Normal","88438"
"Sample_1096","Cell Line","CEM","Blood","Leukemia","3577"
"Sample_1097","Cell Line","CEM","Blood","Leukemia","2538"
"Sample_1098","Cell Line","MCF-10A","Breast","Breast cancer","727"
"Sample_1099","Cell Line","MCF-10A","Breast","Breast cancer","16323"
"Sample_1100","Other","Monocyte","Blood","Other","40437"
"Sample_1101","Other","Monocyte","Blood","Other","33628"
"Sample_1102","Other","Monocyte","Blood","Other","57430"
"Sample_1103","Other","Monocyte","Blood","Other","25023"
"Sample_1104","Other","Monocyte","Blood","Other","36172"
"Sample_1105","Other","Monocyte","Blood","Other","27511"
"Sample_1106","Cell Line","MRC-5","Lung","Normal","56188"
"Sample_1107","Cell Line","MRC-5","Lung","Normal","60049"
"Sample_1108","Cell Line","MRC-5","Lung","Normal","73041"
"Sample_1109","Cell Line","MRC-5","Lung","Normal","41435"
