"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0431","Cell Line","G-13063","Glioblastoma","Glioblastoma","29006"
"Sample_0432","Cell Line","G-13063","Glioblastoma","Glioblastoma","28954"
"Sample_0433","Cell Line","U2OS","Bone","Osteosarcoma","12323"
"Sample_0434","Cell Line","U2OS","Bone","Osteosarcoma","31433"
"Sample_0435","Cell Line","U2OS","Bone","Osteosarcoma","17271"
"Sample_0436","Cell Line","U2OS","Bone","Osteosarcoma","33567"
"Sample_0437","Cell Line","U2OS","Bone","Osteosarcoma","2303"
"Sample_0438","Cell Line","U2OS","Bone","Osteosarcoma","2939"
"Sample_0439","Cell Line","U2OS","Bone","Osteosarcoma","3459"
"Sample_0440","Cell Line","U2OS","Bone","Osteosarcoma","1987"
"Sample_0441","Cell Line","U2OS","Bone","Osteosarcoma","3817"
"Sample_0442","Cell Line","U2OS","Bone","Osteosarcoma","1405"
"Sample_0443","Cell Line","U2OS","Bone","Osteosarcoma","2236"
"Sample_0444","Cell Line","U2OS","Bone","Osteosarcoma","4111"
"Sample_0445","Cell Line","U2OS","Bone","Osteosarcoma","1905"
"Sample_0446","Cell Line","U2OS","Bone","Osteosarcoma","2771"
"Sample_0447","Primary Cell","Monocyte","Blood","Normal","31513"
"Sample_0448","Tissue","MA9 leukemia xenograft","MA9 leukemia xenograft","Leukemia","10461"
"Sample_0449","Tissue","MA9 leukemia xenograft","MA9 leukemia xenograft","Leukemia","24561"
"Sample_0450","Other","anterior cingulate cortex","Brain","Other","29467"
"Sample_0451","Other","dorsolateral prefrontal cortex","Brain","Other","38200"
"Sample_0452","Other","insula","Brain","Other","20716"
"Sample_0453","Other","inferior temporal cortex","Brain","Other","27746"
"Sample_0454","Other","medial orbitofrontal cortex","Brain","Other","34863"
"Sample_0455","Other","primary visual cortex","Brain","Other","16341"
"Sample_0456","Other","posterior superior temporal cortex","Brain","Other","15519"
"Sample_0457","Other","ventrolateral prefrontal cortex","Brain","Other","23123"
"Sample_0458","Other","dorsolateral prefrontal cortex","Brain","Other","58443"
"Sample_0459","Other","insula","Brain","Other","38876"
"Sample_0460","Other","medial orbitofrontal cortex","Brain","Other","64948"
"Sample_0461","Other","putamen","Brain","Other","63386"
"Sample_0462","Other","primary visual cortex","Brain","Other","51847"
"Sample_0463","Other","posterior superior temporal cortex","Brain","Other","49333"
"Sample_0464","Other","basal amygdala","Brain","Other","20054"
"Sample_0465","Other","dorsolateral prefrontal cortex","Brain","Other","20564"
"Sample_0466","Other","hippocampus","Brain","Other","23053"
"Sample_0467","Other","insula","Brain","Other","25797"
"Sample_0468","Other","inferior temporal cortex","Brain","Other","20763"
"Sample_0469","Other","mediodorsal thalamus","Brain","Other","20351"
