,logFC,AveExpr,t,P.Value,adj.P.Val,B
PSMG3,1.0832455582984046,4.001972176140397,14.195927535201333,1.7697761797893612e-38,1.317639457785039e-37,75.91332859625076
PAQR4,1.9664280531670963,2.5091966847701888,14.194437919418844,1.7965143374104315e-38,1.3370726657913287e-37,76.11831180053542
ARF1,0.7511174708489303,8.401746408547126,14.188913679395553,1.8992376443311124e-38,1.4115247078516048e-37,75.95218730510318
DLL4,1.4664847700277228,2.973339163561968,14.18580275925982,1.9596418227244563e-38,1.4553874541259462e-37,75.95672979792903
C15orf39,1.222620793433439,3.674773616565641,14.185375943693607,1.9680773184123956e-38,1.4611356634363925e-37,75.84597401820726
DNPH1,1.150985482028866,5.472078138801817,14.184579040362003,1.9839241878675412e-38,1.4723802020417657e-37,75.74829132907338
ENPP2,2.3716604609697303,4.352281366854031,14.176311498505402,2.1560272043908106e-38,1.5984129676604377e-37,75.6869041200504
NOP10,0.9335249027435228,5.333400257477891,14.173936364803447,2.2081674500581476e-38,1.6364905064774621e-37,75.63956822135137
CCNE1,2.4174945187320107,0.6322602678296353,14.173424378413364,2.2195705547906214e-38,1.6443612120729249e-37,76.14384236069586
ARL3,0.873247042153813,3.359260508417862,14.153736137552345,2.705610759291917e-38,2.001618273244386e-37,75.57399235615964
PRKAG1,0.5452909746516967,4.947653853064255,14.15282841340915,2.730417167361743e-38,2.0192588650034747e-37,75.42818493249268
ANAPC13,0.6239181035250576,4.98131638067792,14.149614450799907,2.8200859249400625e-38,2.0841050204615106e-37,75.39560380588603
IQCD,2.472519696277689,-1.517178917713146,14.149185296349541,2.832279367446254e-38,2.0923800054334745e-37,76.04286817223887
PRRG3,2.3647247404010083,-3.0049586568364925,14.147434794270803,2.882562845079232e-38,2.128778742447226e-37,76.09391786908148
DCTN4,0.6394094928131029,5.224861507587481,14.146059077957423,2.922704420742132e-38,2.157664708219578e-37,75.35935635444316
AGPAT1,0.8241082586207282,6.134087622132553,14.135740244867952,3.2421073704104933e-38,2.391780158086814e-37,75.27998009201949
ATP1A1,1.3913132484399648,8.113272798440846,14.128856031349391,3.4743223286496407e-38,2.562190725724312e-37,75.33002898387242
RAB4A,0.931762553842197,5.432348403495424,14.128622504145408,3.482483892231836e-38,2.567308149826088e-37,75.1868864641821
RP11-204C16.4,2.417927945739306,-3.4540872293506633,14.12020505499986,3.7897848812965657e-38,2.7918923837906617e-37,75.83880008740701
NETO2,2.1389272523286906,0.21882905709209763,14.119783830377308,3.8058540898130074e-38,2.80274731586054e-37,75.64286526860957
SPDL1,1.19819109791442,1.9961275641710932,14.117947448202878,3.876707338398898e-38,2.853925139445919e-37,75.42964253896403
TPGS2,1.108696424156995,4.354876544375651,14.107196020789553,4.318726089426748e-38,3.174875885762338e-37,74.99444615936773
GSG2,2.2807791315142154,-1.5676460824031904,14.100779668798959,4.6061049668010807e-38,3.3814058936638625e-37,75.56197464126979
C1QA,2.299226401807317,5.417929363258188,14.094028159922505,4.929102385736362e-38,3.6159950194768006e-37,74.84045118777883
RPL7,1.335271812004322,9.13105886919447,14.089493810304594,5.158609490406634e-38,3.777764125767453e-37,75.0082335846298
RP11-175K6.1,2.089632779870293,-3.0173641768523187,14.088842082976521,5.192461190443051e-38,3.799904612643742e-37,75.5099219787037
