,logFC,AveExpr,t,P.Value,adj.P.Val,B
FADS6,-2.240152903773929,1.6631061898834403,-5.893138185679637,1.4839184307901356e-08,4.693747415598031e-08,8.389622121745504
TGFBR2,-1.1134502731048004,6.679681186857882,-5.896435008758845,1.4587049535524063e-08,4.616942087541011e-08,8.332289433078035
C9orf43,-0.7514082105206756,0.5100109028524514,-5.8967084666587,1.4566325231051246e-08,4.611118892608254e-08,8.486919515237528
TEX14,-1.0711365500969952,-1.361880164204977,-5.897269325551571,1.452391000894202e-08,4.598426259499404e-08,8.617392422049493
NTNG2,-1.1695969175136967,1.8777782945800578,-5.899557096675399,1.43521443161336e-08,4.54767514032475e-08,8.406442563012899
EZH1,-0.8179927060236851,5.322668093730867,-5.900186348516498,1.4305249645221883e-08,4.5349906239762253e-08,8.282306498401327
RP11-483I13.5,-1.2636403955533557,-1.4287705873364265,-5.902147059130373,1.4160087866560328e-08,4.491126748461206e-08,8.646960958440191
SLC4A3,-1.3719864486890887,4.755256121911393,-5.903678260140741,1.4047728008407752e-08,4.4576294591110435e-08,8.28484294966777
BTK,-1.0472978363623455,1.2167372790960767,-5.905422427231736,1.3920803107052844e-08,4.41947597679546e-08,8.483678407321792
AC016582.2,-1.3011563981523753,-2.9252946105211324,-5.905634085158788,1.3905477078629707e-08,4.415317509685675e-08,8.769728286783414
IL17RA,-0.7857178618344935,4.574922753219922,-5.913456522630923,1.3350493240297315e-08,4.24317504413041e-08,8.3327715936506
MORN1,-0.6670694011289626,1.8867544766391093,-5.913822076534967,1.3325095086464219e-08,4.236461265420693e-08,8.478263195166818
CARD10,-0.9897270654307162,4.358333707951855,-5.915666975936896,1.3197633767136143e-08,4.1966104293541836e-08,8.344253966043427
AC010642.1,-0.9316379496589301,-0.48498420589189994,-5.919031458550877,1.2968251063869434e-08,4.12631847253746e-08,8.664791898327557
KREMEN1,-1.2169776370091485,5.086430934076436,-5.919171194359166,1.2958809051207963e-08,4.123976108879362e-08,8.370992489261049
DDR2,-1.2823146325205323,7.906534407105553,-5.920785460063548,1.2850218881562192e-08,4.0913891565886175e-08,8.529121410061755
RP11-166O4.6,-0.875547869307471,0.06326686019104671,-5.926215653061847,1.2491429746975035e-08,3.9797108947972696e-08,8.665101708074168
SLC25A5P1,-1.146306430389501,-2.9188628989811316,-5.926353007761576,1.2482482613489558e-08,3.977499643902966e-08,8.874442838035245
HEXDC,-0.8484235505319724,4.774605491884527,-5.929168583772101,1.2300454715769719e-08,3.9213881285092174e-08,8.414890860272198
FHOD3,-0.8914731630904296,5.468212011015562,-5.935899015188155,1.1875791097811854e-08,3.7872234062407394e-08,8.46986586983216
PEX11A,-0.8255847539284762,3.3449524019430474,-5.938401327892963,1.1721592097954935e-08,3.7398538573597405e-08,8.498335936738094
LINC01480,-1.1626062600053935,-1.37946400439147,-5.939704268988768,1.1642078962053266e-08,3.71662540727012e-08,8.834311141254371
RP11-231C14.4,-1.0773537065081276,4.253790998251025,-5.9403478237150305,1.1603000448233722e-08,3.7049980329467955e-08,8.471216944441847
TAGLN3,-2.5212598978684637,-2.4367573436958447,-5.942949808133319,1.1446304955752873e-08,3.658498921926624e-08,8.925689478514286
ICA1L,-0.778915492294606,2.7237679861160426,-5.942955880256412,1.1445941716403044e-08,3.658498921926624e-08,8.563923659775565
TBCK,-0.552673430737876,4.686149542799748,-5.943718999569859,1.1400380980549866e-08,3.6455840002813355e-08,8.48796283700493
ADGRF5,-0.9624153089475547,5.2210911074601105,-5.944677163906185,1.1343426677099797e-08,3.6279565508252546e-08,8.50531729433036
CTD-2349P21.12,-0.9912139967641287,-2.658489123437189,-5.944824643537376,1.133468509612269e-08,3.6257457263262884e-08,8.95054751569231
GALNTL6,-1.5010495385503353,-2.045004791430578,-5.945291647133908,1.1307047794743421e-08,3.618656900794298e-08,8.91027679680364
PAG1,-0.9959902028711072,2.5217588149230363,-5.945359760796019,1.1303022338929562e-08,3.617952717981604e-08,8.591184033336887
THBD,-1.1203906385096807,3.9982738979792516,-5.945689541254833,1.1283552437408428e-08,3.612303940031448e-08,8.504202034680443
SLAMF8,-1.119314472515584,2.1806373437125988,-5.945795678540275,1.1277293184950613e-08,3.610883262886061e-08,8.619164354230115
CTD-2574D22.4,-0.6995430308551174,1.2855350391191565,-5.946033586065325,1.1263275365754635e-08,3.606977505256125e-08,8.68567008571279
SLC43A3,-1.0330118357416929,4.381354137049916,-5.947059416716662,1.1203027133468263e-08,3.5882631582928e-08,8.50418353226912
RP11-87H9.2,-0.698754581552359,1.6147918541713233,-5.947335152839288,1.1186886684512957e-08,3.5836725072252804e-08,8.668942666630171
SH3TC1,-1.0375407238713876,3.6245700064336877,-5.948133172547756,1.1140302056549654e-08,3.57048031797872e-08,8.532200541817616
RP11-384K6.6,-0.9046083238270772,3.1815340077114036,-5.948392619163446,1.112519772203064e-08,3.566215951549375e-08,8.559733693471683
RP11-597D13.2,-1.1791483236457612,-1.5555111503037082,-5.948865743117061,1.1097705208786038e-08,3.5579784951280226e-08,8.893692546926278
STEAP3,-1.1564381811805857,3.3716749584140073,-5.951280310112339,1.0958430665216476e-08,3.514463211075655e-08,8.56247679181018
RP11-20I23.10,-1.6421393584964066,-2.5794805765049196,-5.953315564382563,1.0842365099798846e-08,3.477802643581109e-08,8.98837995392815
NUDT13,-0.8611235618601838,1.5570783204230967,-5.955210820843303,1.0735365612260473e-08,3.4441771465288567e-08,8.71332223001858
MMP23A,-1.6281932309550415,-0.5050085937179191,-5.955301673988197,1.073026240673423e-08,3.4435161354815066e-08,8.851006528700683
RP11-74J13.8,-0.7616623857732754,-1.7755114062960367,-5.956442494289487,1.0666384462202426e-08,3.424679935118864e-08,8.948076709801153
LIMK2,-0.7825998323377044,4.486864673942487,-5.957105710677247,1.0629420228109991e-08,3.4133646068657764e-08,8.555239592231016
SLC17A1,-1.8392535102648662,-3.5973181519598785,-5.961262904917231,1.0400559507809354e-08,3.3431213089558106e-08,9.09839929440284
RP11-426C22.5,-0.9355385753848537,-2.0325888116933335,-5.96142238323032,1.0391876695879736e-08,3.340872068479144e-08,8.991688231191606
GATA3,-1.5275986868943683,1.7161399971423665,-5.962210102389746,1.0349093215391023e-08,3.327657336718512e-08,8.737613537542822
ARHGAP10,-0.9433288783256617,3.8578769398339214,-5.96507010601183,1.0195201964930412e-08,3.280303336322278e-08,8.60823049545952
RSPH10B,-1.1080002677956728,-1.3768916816635637,-5.965139145530425,1.0191514907774666e-08,3.2796493509223575e-08,8.963908521562628
KLF13,-1.0498391525727326,5.100315101403009,-5.96824551204245,1.002696300786859e-08,3.2298421791514306e-08,8.622012338477612
U82695.5,-1.8415641965674654,-3.2153084260732285,-5.9690948002155775,9.982428685408988e-09,3.2170652549319196e-08,9.11242087459032
SLC35E2B,-0.9069734278409856,6.343676688646936,-5.970079599382735,9.931030926422648e-09,3.201021561861401e-08,8.688657659791236
AC007383.4,-2.3702223943935126,-0.9927517527091047,-5.970773527027731,9.894969741858436e-09,3.19095469648381e-08,8.964915999665207
CYB5A,-1.209482263006743,4.85505531204901,-5.973551609303689,9.751881130700372e-09,3.146858858112868e-08,8.643171445421027
DOK3,-0.9306134097073122,2.582655216875142,-5.976614948789293,9.596447713599547e-09,3.098214707274981e-08,8.746527145245054
VWA5A,-1.0707825587093849,4.972822938558182,-5.976704735644363,9.591928718163609e-09,3.0972601886326313e-08,8.661908845230569
PPIP5K1,-0.8997260370111286,5.191564704986708,-5.9773746115854225,9.558279374207865e-09,3.0868975567761895e-08,8.671654335588828
TTC41P,-0.7694548152480339,-0.610971281456452,-5.97832973670046,9.510501097894191e-09,3.07246843649864e-08,8.976201456407422
TCAP,-1.0139063529170198,0.7674485339999239,-5.97916277337069,9.46902099314919e-09,3.059566473466934e-08,8.890456375498038
RDH5,-0.9230063582114385,1.0595637814257879,-5.97920077120645,9.467133163955922e-09,3.0594551794766584e-08,8.870945144500435
HOXA5,-1.273959602462135,4.658195200980137,-5.979300814815295,9.462164504730065e-09,3.058348067459059e-08,8.669776434616484
WDFY2,-0.8561026298695582,5.5228365437383236,-5.9797878925197665,9.438010268975016e-09,3.0510384468671194e-08,8.696667145633524
MEIS1,-1.0817693692444843,6.638529283317342,-5.983189878155383,9.270980417551955e-09,2.998020306967902e-08,8.772634256466077
RP3-388M5.9,-1.1075359236466396,-2.9541607118598194,-5.9857490863992915,9.147239730165562e-09,2.9589708415644902e-08,9.179759275329069
NLRP12,-1.0187687390848885,-2.75499294704142,-5.986653088948141,9.103917776360494e-09,2.945437605366314e-08,9.170767509444456
TGM1,-0.9100310168213778,-0.1531672751798092,-5.987084861726137,9.083297140198599e-09,2.9397257013903153e-08,8.989890489857164
GYLTL1B,-1.944298337924379,0.8362903737339625,-5.987193683017167,9.078107263601728e-09,2.938525804806941e-08,8.927036555904447
PRPF4B,-0.8190173594295018,5.9293305787303066,-5.987508603697047,9.063104500015827e-09,2.9341486281857546e-08,8.755569781429624
RP13-270P17.1,-0.9294236795984636,-2.3993483235823203,-5.98791447464145,9.043804679141303e-09,2.928378636958805e-08,9.15274366510032
CLTCL1,-0.9546911686861659,4.428374008527504,-5.988493208003933,9.01635454320134e-09,2.9204443808803952e-08,8.716189062999062
PIK3C2B,-0.8226295219263977,3.4237173136759202,-5.988687434808148,9.007160387188684e-09,2.91794313376763e-08,8.750988556464144
PRAM1,-0.9408396666029847,1.0471965292957846,-5.9903766440853214,8.92758401287873e-09,2.8926364479780165e-08,8.929097594807038
LLGL1,-0.8464879491821131,5.222004220879073,-5.990666009958598,8.914021602710433e-09,2.8887142427747084e-08,8.740877030309903
CCDC38,-1.2153904839901377,-2.3839327358747426,-5.990908886408327,8.902653696985248e-09,2.885973904093844e-08,9.167013306413734
RP11-188P20.3,-0.9185220963203362,-1.6762998953150168,-5.992202225629321,8.842357175353408e-09,2.8683038174935463e-08,9.123913420884577
KLF7,-0.8372467974675235,4.4246670951413325,-5.993476625985441,8.78333474620781e-09,2.850090762384636e-08,8.741795720127826
THTPA,-0.9043974582245324,3.898299928405535,-5.994619685233799,8.730723488421012e-09,2.8339468103974082e-08,8.758248820608856
FAM111A,-0.889360546919594,5.122241186188003,-5.994658066133145,8.728962306259773e-09,2.8338391712575742e-08,8.758157307609094
ADGRG3,-1.5180117118745746,-1.8809267474306408,-5.997202187313283,8.612992797920933e-09,2.7989402661178142e-08,9.16408342057053
RP11-411B10.7,-0.8884026783263839,-2.2405478219108965,-5.99927683989703,8.519541042164407e-09,2.7694795355661698e-08,9.199949838017808
GUSBP2,-0.93810036753407,-1.6532936946087515,-5.999689389561274,8.50107662621868e-09,2.764003208276991e-08,9.160666801468782
RP11-166B2.1,-1.0940972507202018,0.6138050513118994,-6.000627146073622,8.459251247602916e-09,2.7516858792456942e-08,9.010674149806917
RP11-864I4.1,-0.7176725790106788,3.3816248684847827,-6.001153368998738,8.43586922077899e-09,2.744530371959657e-08,8.817534784600472
SRSF5,-0.9673769839855648,7.861714582413956,-6.0019685660527085,8.399771898767171e-09,2.733683768662972e-08,8.941613742535313
PTGFR,-2.0133756678027717,1.890409940631401,-6.002142815577203,8.392075686217218e-09,2.731627525909424e-08,8.929562862341383
CCDC170,-1.3202227176712504,2.5875207916563694,-6.004918579144593,8.270403380290152e-09,2.6929074607012433e-08,8.891475373490927
RP11-197K6.1,-2.0372474976039587,-2.642139505387607,-6.005106625252704,8.262223362986941e-09,2.6906859491455585e-08,9.257599190910724
THUMPD3-AS1,-0.78713846705846,3.422217456900378,-6.005133007802586,8.261076354298792e-09,2.6906859491455585e-08,8.835588078968726
