transcriptclusterid,NM,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
7961960,ENST00000391247,RNA5SP354,1.192753928,6.276827791,8.703047315,8.9132E-12,1.60858E-10,16.41392484
7946048,NM_000184,HBG2,1.192396087,10.88667839,4.47273597,4.14126E-05,0.000178964,1.240103748
7946054,NM_000184,HBG2,1.192396087,10.88667839,4.47273597,4.14126E-05,0.000178964,1.240103748
7948229,NM_001278201,SLC43A3,1.191700762,7.367266114,9.50517451,5.04421E-13,1.19542E-11,19.27796622
8134257,NM_004126,GNG11,1.190386182,7.250624763,5.991840593,1.89391E-07,1.33718E-06,6.519105719
7923824,NM_173854,SLC41A1,1.188596359,8.541254409,6.024286532,1.68196E-07,1.19923E-06,6.636253895
8122827,NM_025059,CCDC170,1.188265541,6.526131315,11.28912728,1.0942E-15,5.01839E-14,25.39860604
7929511,NM_001098175,ENTPD1,1.187017779,7.489499619,7.518544864,6.7921E-10,8.11178E-09,12.09938116
7924107,NM_014873,LPGAT1,1.186578591,7.507084304,12.50061422,2.12856E-17,1.54748E-15,29.32860967
7956867,NM_003483,HMGA2,1.185089538,8.246052371,3.1901729,0.002394635,0.006521154,-2.640316602
8168359,NM_001013627,NHSL2,1.184848842,6.384586323,13.22839968,2.18583E-18,2.11575E-16,31.59718586
7902398,NR_002749,SNORD45A,1.18483165,9.12853818,7.864603377,1.89906E-10,2.56836E-09,13.3670184
8099541,NM_000320,QDPR,1.184713971,7.047942933,11.54268171,4.72322E-16,2.37566E-14,26.23688471
8097335,NM_014278,HSPA4L,1.18395997,7.316364535,5.456122476,1.32286E-06,7.83901E-06,4.604808068
8024584,NM_020170,NCLN,1.183040794,7.76581285,9.160075284,1.72224E-12,3.63867E-11,18.05305138
7964745,NM_001282606,TMBIM4,1.18299631,8.241287075,12.5921673,1.59263E-17,1.21628E-15,29.61780898
8041061,NM_001170585,PLB1,1.181516287,5.906025109,7.177539174,2.39349E-09,2.53647E-08,10.84781286
8034210,NM_001145416,TMEM205,1.180313428,8.017618264,12.58826181,1.61242E-17,1.22858E-15,29.60549472
