,logFC,AveExpr,t,P.Value,adj.P.Val,B
RP11-514P8.8,-0.2087450623891996,0.572668932266618,-0.6379371717181932,0.5239287748853333,0.5541216527339223,-7.831856750772292
KMT2E,-0.07165281176904781,5.760675236839742,-0.6381794468301556,0.5237712545735727,0.5539840775046516,-7.951543648889606
FAM65A,-0.07161082013819708,5.914522921507885,-0.6437364456771113,0.5201649611495762,0.5503139207466536,-7.93783482165594
ZNF818P,-0.07167459546295851,-1.9975210339105909,-0.6453244908893487,0.5191367435708365,0.549283678155558,-7.6035618691259765
SH3BP2,-0.0759283525928085,5.589955380678476,-0.6468634886659508,0.5181412894572685,0.548316630055215,-7.9567988348475875
IMPDH1,-0.07097830523792048,5.231646730452919,-0.6475568394998261,0.5176931405571259,0.5478711009418776,-7.97716805204279
ST3GAL3,-0.059105734466879056,2.885281055950678,-0.6483890805495605,0.5171554857440905,0.5473881899125308,-7.984552830408459
CLNS1A,-0.06976650826172737,5.488609791318711,-0.6496686386832985,0.5163294163260688,0.5465998037121487,-7.961154500472278
PLEKHA8,-0.0595008039596836,3.295591795745091,-0.6535362781269501,0.5138366916151955,0.5440750619074566,-8.001662222132575
RPS16,-0.09188842322856061,8.976760674642227,-0.6555784073851876,0.5125230641339957,0.5427410626698019,-7.727718920344014
SDAD1P1,-0.060726033832261606,0.34737727637088234,-0.6560983956861519,0.5121888556292695,0.5424440571526435,-7.804858068762423
ZCCHC14,-0.06811583587513237,5.204440023881872,-0.6561153491451005,0.5121779611710033,0.5424440571526435,-7.973045230289009
GTF2F1,-0.07246082545052968,6.002839633039055,-0.6563854372237978,0.5120044163053714,0.5423056220552381,-7.923659619416522
LRRC56,-0.06773272668178776,1.6054431403005969,-0.6565156756103318,0.5119207427518344,0.5422454459664219,-7.890924905761465
PRICKLE4,-0.07886221517944714,3.9142340950783825,-0.6573948390299933,0.51135609886038,0.5417041991810543,-8.011642917496351
DIDO1,-0.07079537033893235,5.839758868385887,-0.6577316421798683,0.5111398731407248,0.5415035557811163,-7.933689107607774
HDAC3,-0.0657347159746271,5.088092936724065,-0.6585278311199564,0.5106289151041015,0.5410190268773801,-7.9775007039581585
RNF130,-0.07380961458491608,5.774487335085297,-0.6598198443304342,0.5098003304330156,0.5402545443979905,-7.936590785896084
CBX4,-0.06975842726867842,4.354805701043664,-0.6607166481755707,0.5092256143555253,0.5396738255346394,-8.004201610146838
OCRL,-0.06928965825862932,4.940369715008419,-0.6642429155409247,0.5069691173015967,0.5373388218661539,-7.980864916284376
SEC24D,-0.08052625980241057,5.8021818292786485,-0.6654871289329604,0.5061741927169187,0.5365244462128087,-7.931024576619374
MED9,-0.06075534478626743,3.342121725321915,-0.6657585324042431,0.5060008812954104,0.5363689047829743,-7.9953357024513485
CAB39L,-0.06855430769408954,3.3764094900207646,-0.6662485847393467,0.5056880256594044,0.5360935704464662,-7.996207413408784
PIGV,-0.06203954506817233,3.4579378089956028,-0.6674804017782274,0.5049020698238339,0.5354009342159659,-7.9979591315837
TMCO3,-0.0779795710649287,5.782274206244605,-0.6690982461745255,0.5038707937761047,0.5343354302018176,-7.929913986044816
TYMSOS,-0.09516613770936577,-1.886835739483398,-0.6704652092909109,0.5030003100087406,0.5334403371746405,-7.5977283718328135
RP11-541N10.3,-0.059143808576513246,1.5311039509054998,-0.6718142774114462,0.502142004854738,0.5325860457080726,-7.875527694817265
RP11-319G6.1,-0.06164969743448245,-0.9625935962785911,-0.673285802757876,0.5012066778995685,0.5316498746025898,-7.685737148877516
CTD-2554C21.3,-0.08308293689489576,-0.9989197448550129,-0.6734670744533383,0.5010915226289929,0.5315835869066794,-7.682109811363024
GSTM1,-0.2726128502101419,1.3451872465909491,-0.6762844327504215,0.49930356922761554,0.5297703503214959,-7.859519342820368
BDP1,-0.06960433178601289,4.420036847636218,-0.6766413096594988,0.4990773308908455,0.5295581391792489,-7.991881883548982
SOCS2,-0.07585276080388814,3.2905075739380925,-0.681804181310584,0.4958105115630369,0.5261471093058552,-7.982574955208884
ATRX,-0.076990844643257,5.570512046396794,-0.6823102411386887,0.49549091892213026,0.5258356027545584,-7.934422807733081
WDR75,-0.06772545460127155,4.687149193386187,-0.6824360113431712,0.49541150823857394,0.5257789679487084,-7.979264248202122
LRPPRC,-0.0783636827242633,6.289403394317584,-0.6829472900858831,0.49508875965747723,0.5254640597216313,-7.886206799929796
APTX,-0.06414166307085445,3.8697890921239124,-0.6833728781622435,0.49482019001897526,0.5252066244007925,-7.994110596898803
APTR,-0.06550991104757031,2.5291402690320344,-0.6841680001768354,0.4943186335986801,0.5247018547289634,-7.937620073128736
KRBOX1,-0.11286157424013898,-0.13244710073242244,-0.6866610931838112,0.4927477829702429,0.5231169669017282,-7.750257456972845
NPM1P27,-0.06834018204226444,1.8637658306936138,-0.6881889781682862,0.49178642115525006,0.5221512711834536,-7.887894850353999
