Run Experiment Sample Subject_ID GSE131592
212 trimmed_SRX9633815_SRR13200278 trimmed_GSE162698_GSM4957523 trimmed_GSM4957523 trimmed_GSM4957523_r2 GSE162698
213 trimmed_SRX9633812_SRR13200271 trimmed_GSE162698_GSM4957520 trimmed_GSM4957520 trimmed_GSM4957520_r1 GSE162698
214 trimmed_SRX9633807_SRR13200259 trimmed_GSE162698_GSM4957515 trimmed_GSM4957515 trimmed_GSM4957515_r2 GSE162698
215 SRX9633806_SRR13200256 GSE162698_GSM4957514 GSM4957514 GSM4957514_r1 GSE162698
216 SRX9633805_SRR13200254 GSE162698_GSM4957513 GSM4957513 GSM4957513_r1 GSE162698
217 trimmed_SRX9633817_SRR13200281 trimmed_GSE162698_GSM4957525 trimmed_GSM4957525 trimmed_GSM4957525_r1 GSE162698
218 trimmed_SRX9633804_SRR13200253 trimmed_GSE162698_GSM4957512 trimmed_GSM4957512 trimmed_GSM4957512_r2 GSE162698
219 trimmed_SRX9633806_SRR13200256 trimmed_GSE162698_GSM4957514 trimmed_GSM4957514 trimmed_GSM4957514_r1 GSE162698
220 trimmed_SRX9633809_SRR13200262 trimmed_GSE162698_GSM4957517 trimmed_GSM4957517 trimmed_GSM4957517_r1 GSE162698
221 SRX9633809_SRR13200264 GSE162698_GSM4957517 GSM4957517 GSM4957517_r3 GSE162698
222 SRX9633804_SRR13200252 GSE162698_GSM4957512 GSM4957512 GSM4957512_r1 GSE162698
223 trimmed_SRX9633804_SRR13200252 trimmed_GSE162698_GSM4957512 trimmed_GSM4957512 trimmed_GSM4957512_r1 GSE162698
224 trimmed_SRX9633813_SRR13200273 trimmed_GSE162698_GSM4957521 trimmed_GSM4957521 trimmed_GSM4957521_r1 GSE162698
225 trimmed_SRX9633814_SRR13200276 trimmed_GSE162698_GSM4957522 trimmed_GSM4957522 trimmed_GSM4957522_r2 GSE162698
226 trimmed_SRX9633816_SRR13200279 trimmed_GSE162698_GSM4957524 trimmed_GSM4957524 trimmed_GSM4957524_r1 GSE162698
227 trimmed_SRX9633816_SRR13200280 trimmed_GSE162698_GSM4957524 trimmed_GSM4957524 trimmed_GSM4957524_r2 GSE162698
228 trimmed_SRX9633817_SRR13200282 trimmed_GSE162698_GSM4957525 trimmed_GSM4957525 trimmed_GSM4957525_r2 GSE162698
229 SRX9633806_SRR13200257 GSE162698_GSM4957514 GSM4957514 GSM4957514_r2 GSE162698
230 trimmed_SRX9633803_SRR13200250 trimmed_GSE162698_GSM4957511 trimmed_GSM4957511 trimmed_GSM4957511_r1 GSE162698
231 trimmed_SRX9633809_SRR13200264 trimmed_GSE162698_GSM4957517 trimmed_GSM4957517 trimmed_GSM4957517_r3 GSE162698
232 SRX9633812_SRR13200272 GSE162698_GSM4957520 GSM4957520 GSM4957520_r2 GSE162698
233 SRX9633816_SRR13200280 GSE162698_GSM4957524 GSM4957524 GSM4957524_r2 GSE162698
234 SRX9633810_SRR13200266 GSE162698_GSM4957518 GSM4957518 GSM4957518_r2 GSE162698
235 trimmed_SRX9633808_SRR13200260 trimmed_GSE162698_GSM4957516 trimmed_GSM4957516 trimmed_GSM4957516_r1 GSE162698
