"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUX4L17",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"EEF1GP3",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"EIF4BP4",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"FAM47DP",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"FANCD2P2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"GEMIN2P2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"GGTLC2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"GOLGA8S",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"GPR141BP",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"GRXCR1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"GUSBP6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"HMGB3P19",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"HNRNPA1P29",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"HSPD1P15",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"IGBP1P3",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"IGHV3OR16-6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"KRT6C",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"KRTAP10-2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"LCE6A",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MFAP1P1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MRPS10P2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTCO1P20",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTCO2P25",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTDHP1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTND3P13",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTND4P18",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTND4P29",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTND4P6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MTND6P22",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"MUC2",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"NDUFB4P10",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"NIFKP1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"NMRAL1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"NPM1P33",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"NUP210P1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OBP2B",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OR13J1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OR14C36",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OR14K1",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OR52B6",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OR7E25P",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OR8K4P",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
"OSTCP5",0.303817055820915,0.0278758509282461,3.86047259123304,0.00722083896970306,0.994238654136664,NA
