"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GALNT5",63.3881037051688,-3.2331644808853,0.196707575220866,-16.4364004652849,1.04971400725778e-60,1.77255395602602e-58
"RGS16",563.107696487252,-2.44205746113338,0.148724831208464,-16.4199713073496,1.37631796972241e-60,2.3051647556302e-58
"AEN",1761.64194491371,-1.04090047896603,0.0635014647256677,-16.3917554258444,2.19027040659327e-60,3.63885166501839e-58
"ZFAND3",1785.18330226919,-1.22700424006875,0.0749350815408488,-16.3742297311023,2.92183037054224e-60,4.81541019708326e-58
"FAM83D",1643.45598879825,0.875255758066777,0.0536391302443853,16.3174860233382,7.41259644804985e-60,1.21195951925615e-57
"LAPTM5",89.7477592833261,-3.00971162716764,0.184817963333413,-16.284735384396,1.26675908148493e-59,2.05484282186386e-57
"PHLDA1",3644.64950443788,-1.42571781585818,0.087768045507602,-16.244155918166,2.45699908790508e-59,3.95442486015098e-57
"TYMS",7919.32203598693,0.871665158486864,0.0538698324127529,16.1809517395215,6.87238517136967e-59,1.09750392957664e-56
"PMEPA1",8433.2851750936,-1.46907654094907,0.0908386183152184,-16.172378754719,7.89886851042165e-59,1.25172761679382e-56
"PARP2",896.055971602304,1.25812982828697,0.0778144308809884,16.1683355393448,8.43464746753995e-59,1.32642879754802e-56
"CSPG5",245.865239226582,2.0938682547517,0.129780312289035,16.1339437224379,1.47306198655352e-58,2.29898105946887e-56
"RASA3",217.39794736234,-1.62350482589636,0.100713704854643,-16.1199990432237,1.84612125035794e-58,2.85954465252811e-56
"SNX18P12",71.2150663117252,-5.90203895716531,0.36672422373785,-16.0939435552104,2.81332548600188e-58,4.32517301023319e-56
"ADAMTS7",121.094691109675,-5.27483696703401,0.327808076509719,-16.0912355278032,2.93912937593154e-58,4.48511142767153e-56
"TGFB3",317.126476186484,1.53587585996765,0.0955676752907469,16.0710810982378,4.06927057567978e-58,6.16404728893964e-56
"MAST4",370.843412743887,-2.1645186435654,0.134714823041967,-16.0674125882279,4.31734450560813e-58,6.49208862481994e-56
"C9orf40",315.291862395809,1.37032311686175,0.0853016614224388,16.0644364249309,4.52962506476439e-58,6.76194246081241e-56
"INPP5D",46.0963990311307,-4.35277688613412,0.271269140404766,-16.0459714644993,6.09969769285045e-58,9.04027857341094e-56
"UBE2T",818.797241666129,1.39827491178663,0.0873375647657943,16.0100057236112,1.08799809614692e-57,1.60098919848019e-55
"UHRF1",1019.17524759892,1.69133274347926,0.105765689694763,15.9913176793004,1.46890830814408e-57,2.14616879830327e-55
"CCNE1",2341.42417151702,0.964486543519059,0.060397937725286,15.9688654918307,2.10581318778213e-57,3.05506038602111e-55
"CDCA3",1472.91079076163,1.72010793083667,0.10779964272855,15.9565271952531,2.56618710668926e-57,3.69692451642695e-55
"ATF3",755.765082294088,-0.956631801958373,0.0600372887933415,-15.9339607298268,3.68272624566e-57,5.26860023519734e-55
"NCAPD3",890.065224829119,1.2549755907341,0.0789267502837191,15.9005101087125,6.28508886286256e-57,8.92959418371253e-55
"PLIN4",50.1805927781162,-3.05960519168508,0.192545804652877,-15.8902719132259,7.40058609648419e-57,1.04424297379227e-54
"FN1",18548.9140666902,-2.3057693055494,0.145116305515058,-15.8891125112756,7.53873305636505e-57,1.0564995897563e-54
"ADPRHL1",383.217720751653,-1.8283380348443,0.115416817343582,-15.8411752890531,1.61768800788147e-56,2.25175612502474e-54
"SIPA1L1",2342.48447977252,-1.35915112347242,0.0858409720910515,-15.833361276836,1.83169197828921e-56,2.53252929159302e-54
"RASAL2",663.446320931006,-1.1934990511877,0.0755931729662572,-15.7884502575444,3.7364734500884e-56,5.13167263635141e-54
"EPHA4",155.090808650104,-1.55539188164675,0.0986580113153172,-15.7654899071057,5.3753884642748e-56,7.33366740082949e-54
"ADAM19",2348.83577230201,-1.61535001235428,0.102620304479729,-15.7410370252152,7.91360565082258e-56,1.07255388166182e-53
"NSD2",2781.82347776181,1.1237830476015,0.0714706137433405,15.7237078113971,1.04052026124734e-55,1.40102992823245e-53
"CALN1",433.701456006631,-1.73231017368759,0.110209375778359,-15.7183557338299,1.13224089347391e-55,1.51462952249714e-53
"SYTL1",128.057952010436,-3.58428699012372,0.228093463373274,-15.7141153328802,1.21059208832103e-55,1.60899403945171e-53
"SPOCD1",174.077147490555,-1.5446390665252,0.0984027535400299,-15.6971122347389,1.58285102845365e-55,2.09027654084447e-53
"KLK6",1026.89898098444,-2.17686565733332,0.138799607544379,-15.6835144986797,1.96097174801019e-55,2.57311968030306e-53
"SPC24",417.323940546084,1.6707470779405,0.106569993836116,15.6774624619927,2.15700764999359e-55,2.8124376327543e-53
"QRFPR",164.578411506092,1.97281323158329,0.126247774292681,15.6265189040854,4.80337468970092e-55,6.22354226305212e-53
"TNFRSF9",208.099107110687,1.45651788110391,0.0932619455735966,15.6174940609031,5.53381776315208e-55,7.1251362336685e-53
"CKS1B",2130.37030577222,1.52183534070052,0.0975857039264935,15.5948594872754,7.88968172629542e-55,1.00953623132554e-52
"NMB",275.206490712667,-5.15882906274972,0.330883241827325,-15.5910859500159,8.3698545787075e-55,1.06436650725897e-52
