"","HET_DMSO_1","HET_DMSO_2","HET_DMSO_3","HET_DMSO_4","HET_ETOPO_1","HET_ETOPO_2","HET_ETOPO_3","HET_ETOPO_4","HOM_DMSO_1","HOM_DMSO_2","HOM_DMSO_3","HOM_DMSO_4","HOM_ETOPO_1","HOM_ETOPO_2","HOM_ETOPO_3","HOM_ETOPO_4","KO_DMSO_1","KO_DMSO_2","KO_DMSO_3","KO_DMSO_4","KO_ETOPO_1","KO_ETOPO_2","KO_ETOPO_3","KO_ETOPO_4","PAR_DMSO_1","PAR_DMSO_2","PAR_DMSO_3","PAR_DMSO_4","PAR_ETOPO_1","PAR_ETOPO_2","PAR_ETOPO_3","PAR_ETOPO_4"
"AACSP1",6.97607052809953,6.91538073067635,6.81206892466556,6.84648025364784,6.279483710175,6.36625304030062,6.12148595008257,6.27014407721123,6.28435929313925,6.14604840410713,6.03890565785094,5.59352992406082,5.83415161611034,5.89676659248807,5.90220370762612,5.85744648024679,5.10601790540765,4.42585021586179,5.02817598517985,4.88827115034937,5.08812600440012,4.71533070100684,5.04795747439055,5.22269384365469,5.82710935833405,5.95633315153223,5.64958120319467,6.19908240116995,5.53876230577879,5.67202651291305,5.41250854903428,5.3747316179716
"AADAC",4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.82947220351568,4.42585021586179,4.42585021586179,4.81527358915454,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.81616598167582,4.90914194984963,4.69796923727191,5.06232569148078,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.8469017684555,4.83455648870379,4.70578620775423,4.9928373410671,4.42585021586179,4.71806549703537,4.42585021586179,4.42585021586179,4.99255601434583,4.96267386560027,4.71576912973054,5.10274416969239
"AADACL2",4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.82104762797497,4.97493151170904,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.70574617815254,4.69796923727191,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.92558454524178,4.98312980369533,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.7105660964357,4.42585021586179,4.42585021586179,4.42585021586179
"AADACL3",4.42585021586179,4.71520621980911,4.42585021586179,4.71808717844915,4.82947220351568,5.0511047603094,4.70573240862659,4.70163077853455,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.81616598167582,4.82106701061547,4.42585021586179,4.71233373780963,4.42585021586179,4.74721195816052,4.42585021586179,4.42585021586179,5.08812600440012,4.92558454524178,4.70578620775423,4.91765678852678,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.82785121484439,4.42585021586179,4.42585021586179,4.73078273785409
"AADACL4",4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.71171786154897,4.86968785967273,5.15957747382498,4.70163077853455,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.69796923727191,4.71233373780963,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.8469017684555,4.92558454524178,4.70578620775423,4.71070878734516,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.7105660964357,4.96267386560027,4.71576912973054,4.42585021586179
"AADACP1",4.42585021586179,4.71520621980911,4.71642591407183,4.71808717844915,5.06097470278751,5.78419741643525,4.98302368379833,5.1490136787889,5.13123367723266,4.42585021586179,4.42585021586179,5.06201118685367,5.59989146619607,5.80246240198081,5.45910069686826,5.47618476326684,5.16959300551335,4.42585021586179,5.16093753381489,4.88827115034937,5.3545756044311,5.4867399740969,5.25549699541863,5.26973268614812,4.42585021586179,5.00733629675435,4.42585021586179,5.0499646813251,6.00819610164486,6.16315804945502,5.79642330389776,5.7455904346419
"AADAT",7.87210367490616,8.12880974569918,7.7117472164819,7.52930480260528,8.28745388956531,8.44800293547494,8.13302921552675,8.36943141380974,7.46474624602533,6.94101837968256,6.96758905428764,6.64317928880975,8.67064213272974,8.68627877389214,8.51020402852511,8.36567036776693,7.79405041978422,7.75809514028355,7.48506183295969,7.25199573900158,8.72012976656042,8.418113780802,8.51423566212461,8.48977455804152,7.59317192810877,7.74319213455279,7.4393833764584,7.39155471579064,8.10657423115687,8.28748413016556,8.04545800601631,7.92771241324061
"AAGAB",10.7012409294482,10.8340843337666,10.5314897787151,10.6464404060407,10.6938922134553,10.8284279320337,10.625375203467,10.5793585364663,10.6107987720132,10.2802087822837,10.1318051620435,9.69383686351629,10.8750389344685,10.9459110817445,10.8203875010647,10.7613353649801,10.5983908381004,10.3863243963231,10.5364919097318,10.3867884003729,10.7150489813028,10.8187487704057,10.8198324453399,10.7911771111544,10.3640501318031,10.5967974516452,11.1560091128366,10.4290331341941,10.6459141736002,10.6937621275858,10.5844413462065,10.6008138386971
"AAK1",9.92757851158452,9.50548195006596,9.75921569389717,10.0319990225527,9.9865695325493,9.98934651587142,10.0344963044804,10.096796397161,10.0128628183115,10.0535457275613,10.2835633806882,10.2134393536222,9.4914774422356,9.36428984284897,9.48944414125509,9.68480942118529,10.0185842410305,9.99624141358924,9.99627266956003,10.2912733752602,9.6738766079144,9.52037849164444,9.69815004944154,9.62529295039253,10.0800497862462,10.084495360397,10.0182739939954,10.0001427660306,10.0389702281566,10.059499925819,10.0637222534016,10.0698402842018
"AAMDC",7.60382149461782,7.84612748696822,7.76547629984821,7.67556137452609,7.70920594270622,7.69233843706815,7.6418656049298,7.56561621711614,7.82333237918642,8.39815418236068,8.58297354347936,8.98025580733259,7.84632206941876,8.03324652519652,7.78370860841808,7.72603515178902,7.18896913607237,7.64561722289201,7.58976021077117,7.49780172009843,7.57619813677592,7.42124526272961,7.54407338511578,7.27784150314352,7.47279160666924,7.52913477159263,7.93564002497678,7.58304808594906,7.46985100484723,7.3807200238138,7.67568371000365,7.60603393789234
