"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CUL4A",1839.53150657859,-0.595885635315565,0.0571972531527503,-10.4180813320563,2.05047901153231e-25,8.04632087407765e-23
"HECW2",105.065422165382,-2.09043823163289,0.200989572823865,-10.4007297605674,2.46041602319115e-25,9.46928959079318e-23
"DLX4",76.2948091146578,2.14984727614172,0.207211247955232,10.3751475721347,3.21714936175135e-25,1.21480773918358e-22
"MLPH",99.842272337831,1.98265973617623,0.191603557678207,10.347718801266,4.28575652819418e-25,1.58834898886574e-22
"SPANXD",47.4112980697169,3.02519144444948,0.292501400805706,10.342485321836,4.526435738817e-25,1.64704651710808e-22
"STARD13",237.963652440212,-1.4190455110194,0.137371830857301,-10.3299599500387,5.15821171193696e-25,1.84341591055347e-22
"ZNF542P",258.683268212535,-1.66026969957329,0.161533043433076,-10.2782047826713,8.83580138935147e-25,3.10229637201914e-22
"MPI",786.757641106293,1.42643579891791,0.139332437992415,10.2376432901832,1.34471994825082e-24,4.63997936626615e-22
"TM9SF2",1569.28648479893,-1.58393676399724,0.154990702667701,-10.2195598622015,1.62075095943546e-24,5.49764219511556e-22
"SPANXC",29.0408739761625,3.96035024216458,0.387651058844507,10.2162760859455,1.67658409576785e-24,5.59224625143367e-22
"FAM83D",1643.45598879825,0.493019366920599,0.0486075516833974,10.1428553762974,3.56523169518148e-24,1.16968822812569e-21
"CDH13",195.262607868158,-1.10698137575245,0.109252249798044,-10.1323439819202,3.97016224835425e-24,1.28152995284377e-21
"GCAT",222.506003151334,1.99984618743864,0.197895307748361,10.1055765808333,5.21876712656907e-24,1.65782835720677e-21
"GALNT10",1209.55609207778,-0.705553820814738,0.0699189853805988,-10.0910191555857,6.05376868559118e-24,1.8930323860115e-21
"GNPTG",1160.17329377569,-0.708766690853469,0.0705468959076199,-10.0467452427898,9.49517877507216e-24,2.92349250500799e-21
"KCTD12",277.051711043413,-1.79653212938015,0.179050672016514,-10.0336519776617,1.08430309307286e-23,3.28790269722228e-21
"GDF11",2280.18150227505,0.579559623886379,0.0578058997562147,10.0259597433923,1.17215212606344e-23,3.50123589535935e-21
"FAM19A5",1669.65524794045,-0.749734383753136,0.074861993015755,-10.0148867743255,1.31111952493188e-23,3.85874044889144e-21
"ID3",1838.6322358108,1.04571837551727,0.104655311324566,9.99202393344567,1.65174238952527e-23,4.7907710784883e-21
"EBPL",258.898690398114,-1.06326284979572,0.106772284765215,-9.9582288805916,2.3216164204168e-23,6.63750134597162e-21
