"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RS1",1.05877848859882,-0.619511790671065,1.80310845925343,-0.343579881449601,0.731162256894669,NA
"FAM218A",12.245233116442,0.128864191740673,0.375114547457322,0.343532909118472,0.731197587580662,0.895725634406893
"ALG1L8P",0.829212985203344,0.466952324326674,1.35928221941201,0.343528604772499,0.731200825163975,NA
"C5orf58",0.726350782915477,-0.619511790076666,1.8036404949737,-0.343478532336733,0.731238488306667,NA
"VSTM5",1.31005125086728,-0.610444516376953,1.77725276738499,-0.343476475366612,0.731240035518254,NA
"ZPBP2",1.92569144386933,0.408432832444767,1.18920817858644,0.343449397506039,0.73126040304271,NA
"SOX1",2.11357452771785,0.341782691164828,0.99521247454053,0.343426855981304,0.731277358553918,NA
"ZNF844",93.7832500567211,0.0660174382115402,0.192263826222049,0.34336900242116,0.73132087602846,0.895778205952455
"CSKMT",274.433702010713,0.0524959810353021,0.152896649355223,0.343342913377643,0.731340500501817,0.895778205952455
"AC051619.1",0.689831268321482,0.55140328304063,1.60623613080279,0.343289054745047,0.731381014129914,NA
"TCIRG1",1789.28259181867,-0.0726159330716769,0.211652444902498,-0.343090452392973,0.731530413586778,0.895778205952455
"TMEM150C",3.92855640734604,-0.339766014280322,0.990332453820527,-0.343082782927657,0.731536183178594,0.895778205952455
"PBRM1",633.065672808463,-0.0890166781430505,0.259479065835762,-0.34305918998257,0.731553931794341,0.895778205952455
"DSN1",583.497402678577,0.064347756154044,0.187585569042918,0.343031484150691,0.731574774656015,0.895778205952455
"MEIS3P1",74.3331848564965,-0.0703876306943943,0.205200337804488,-0.343019078075099,0.731584107705375,0.895778205952455
"PRAMEF18",0.722952889137744,-0.619511787177924,1.80623285848058,-0.342985559292206,0.731609323972752,NA
"EEF1E1-BLOC1S5",1.28478764030115,2.00693880497208,5.85215797978894,0.342939956833574,0.731643631286251,NA
"GVQW2",6.7350739161948,-0.179525431186368,0.523636798433103,-0.342843420713687,0.73171625841524,0.89585232349893
"ANKRD13A",602.783174595237,0.0575049368971568,0.167746720079717,0.342808114935596,0.731742820651819,0.89585232349893
"AC090527.2",2.30285674805211,-0.543074956530045,1.58447622692332,-0.342747304946676,0.731788571687757,NA
"KLRF2",0.36375292635623,-1.4036624703236,4.0960058835501,-0.342690540548495,0.731831279841402,NA
"SNX18P10",0.469249283667339,-0.893901883433228,2.60887089601669,-0.342639371230699,0.731869779104541,NA
"GOT2",5706.93314609746,0.041034929498165,0.119784889445007,0.342571835966037,0.731920592969432,0.895867173329972
"AFTPH",581.930730963776,0.0736834138155704,0.215174342136083,0.342435873553041,0.732022895322457,0.895867173329972
"RALYL",1.29286386774577,-0.619511783621736,1.80940810633887,-0.342383667593513,0.732062177977634,NA
"AC239600.1",0.354899877029105,-1.36970065417775,4.0011514429476,-0.342326621151012,0.732105103683104,NA
"MFSD2A",336.676642712193,0.041099913320081,0.120066184669691,0.342310480116856,0.732117249470426,0.895867173329972
"MARK2P8",0.640558650865751,-0.610344227804397,1.78376804611318,-0.342165691965575,0.732226202497084,NA
"CCDC74A",353.900238508407,-0.0342695039029067,0.10016177290463,-0.342141546711006,0.7322443723168,0.895867173329972
"IL13",0.534396760753624,-0.619511781897149,1.81094595062013,-0.34209291651416,0.732280968034082,NA
"KCNA7",9.74469557568503,0.173840852041717,0.508197235013418,0.342073588883512,0.732295512839056,0.895867173329972
"ABCC6",17.6729048383779,0.162577228527749,0.475303427993213,0.342049349852513,0.73231375380258,0.895867173329972
"HTR3D",0.748941247772363,-0.619511781387653,1.81140002803013,-0.342007161201914,0.732345503024711,NA
"ARHGAP27P2",8.68953767825065,-0.189432219159298,0.553934200820331,-0.341976030508253,0.732368930834949,0.895867173329972
"KCP",14.6782508664288,0.125301332733874,0.366413227776874,0.341967274200526,0.732375520553675,0.895867173329972
"HS2ST1",553.440397975918,0.0939694967868029,0.274814511324103,0.341937899618335,0.732397627074181,0.895867173329972
"DBIL5P",8.82438428766504,-0.179879800607157,0.526092692902527,-0.341916553934126,0.732413691401313,0.895867173329972
"PLEKHG4B",210.125136775475,-0.0500443958152754,0.146364770046671,-0.341915583916252,0.732414421419792,0.895867173329972
"TMED1",799.106037537209,0.0411541260552242,0.120381306193924,0.341864757547392,0.732452672794312,0.895867173329972
"LRRC8C",378.957640700109,0.0697643388237086,0.204082469173159,0.341843859035806,0.732468400980537,0.895867173329972
"ZKSCAN3",105.064662146752,-0.0498173969885822,0.145735535640204,-0.341834246326666,0.732475635527713,0.895867173329972
"NDUFA13",1787.01390955288,0.0704424273570451,0.206084448459893,0.341813406511138,0.732491319702807,0.895867173329972
"CD7",7.54019697385807,0.158426672890652,0.463688431023809,0.341666218716847,0.732602097335223,0.895917370551492
"SNX17",4454.44961813853,0.0583717765577178,0.170863353525584,0.341628414480216,0.732630550755654,0.895917370551492
"CBLN1",1.02859675785053,-0.619511779087964,1.81344815976307,-0.341620892636328,0.732636212127571,NA
"RFPL4B",1.48259011883942,-0.619511777845043,1.81455415515167,-0.341412669380077,0.732792938689215,NA
"NUDT13",101.750110549892,-0.0551491887868556,0.161555347507496,-0.341364056576938,0.732829530430807,0.896005280192426
"RDH12",19.9978787976389,-0.119677498130815,0.350617886006396,-0.341333123343947,0.732852814754346,0.896005280192426
"HMGN2P20",0.0957561918180593,-2.01909564586615,5.91544620332175,-0.341326009309721,0.732858169724849,NA
"E2F6P1",0.325455767160946,-2.01909365650688,5.91544627913287,-0.341325668636256,0.732858426161439,NA
"AC010197.2",7.31270568384323,0.237160881973735,0.694906759053442,0.341284465698363,0.732889441244446,0.896005280192426
"CADM2",9.87142314309321,-0.163289779194149,0.478474017566701,-0.34127198802678,0.732898833768006,0.896005280192426
"GGT6",2.59486347648987,-0.476320743922874,1.39619154483679,-0.341157161196356,0.732985271139694,0.896044729070783
"IGHV3-35",0.44840287083468,1.53016974898469,4.48566758273443,0.341124196290067,0.733010086522016,NA
"ACOT12",0.630341425751374,-0.633473417330451,1.85714457299853,-0.341100755719653,0.733027732327158,NA
"ICAM3",186.350740860997,0.0732388181051216,0.214714464933385,0.341098668540305,0.733029303539795,0.896044729070783
"AIP",2125.44647012536,-0.0582444251083406,0.170829526894311,-0.340950573166284,0.733140791458856,0.896120984817995
"RPL23AP97",0.619147060032456,-0.633504379320998,1.85818742083307,-0.34092598637708,0.733159301224519,NA
"C8orf58",786.178934222444,0.0581837937582026,0.170686663812662,0.340880725292414,0.733193375704056,0.896125236971624
"CLEC4C",2.06801954615451,0.310533050727713,0.911169647362836,0.340807062248482,0.733248833516827,NA
